id,start_date,end_date,transfer_fee,salary,release_clause
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"865473_None",,None,0,None,None
"933770_None",,None,0,None,None
"933770_None",,None,0,None,None
"933770_None",,None,0,None,None
"933770_None",,None,0,None,None
"990661_None",,None,0,None,None
"990661_None",,None,484000,None,None
"990661_None",,None,0,None,None
"990661_None",,None,0,None,None
"990661_None",,None,0,None,None
"990661_None",,None,0,None,None
"990661_None",,None,0,None,None
"990661_None",,None,0,None,None
"359290_None",,None,0,None,None
"359290_None",,None,0,None,None
"359290_None",,None,0,None,None
"359290_None",,None,0,None,None
"359290_None",,None,0,None,None
"359290_None",,None,0,None,None
"359290_None",,None,0,None,None
"359290_None",,None,0,None,None
"1155867_None",,None,0,None,None
"1155867_None",,None,0,None,None
"1155867_None",,None,0,None,None
"1155867_None",,None,0,None,None
"1155867_None",,None,0,None,None
"1155867_None",,None,0,None,None
"1155867_None",,None,0,None,None
"1155867_None",,None,0,None,None
"249437_None",,None,0,None,None
"249437_None",,None,0,None,None
"249437_None",,None,0,None,None
"249437_None",,None,0,None,None
"249437_None",,None,0,None,None
"249437_None",,None,0,None,None
"249437_None",,None,40000000,None,None
"249437_None",,None,11000000,None,None
"249437_None",,None,3500000,None,None
"249437_None",,None,0,None,None
"894744_None",,None,500000,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"894744_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,8500000,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,8400000,None,None
"27714_None",,None,3500000,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,8600000,None,None
"27714_None",,None,1100000,None,None
"27714_None",,None,2300000,None,None
"27714_None",,None,75000,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"27714_None",,None,0,None,None
"1382913_None",,None,1500000,None,None
"1382913_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"340547_None",,None,0,None,None
"1199422_None",,None,0,None,None
"359278_None",,None,123000,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"359278_None",,None,0,None,None
"1140890_None",,None,0,None,None
"1140890_None",,None,0,None,None
"1140890_None",,None,0,None,None
"340511_None",,None,0,None,None
"340511_None",,None,0,None,None
"340511_None",,None,0,None,None
"340511_None",,None,0,None,None
"340511_None",,None,0,None,None
"340511_None",,None,0,None,None
"340511_None",,None,0,None,None
"1095732_None",,None,369000,None,None
"1095732_None",,None,0,None,None
"1210560_None",,None,0,None,None
"1210560_None",,None,0,None,None
"1210560_None",,None,0,None,None
"1210560_None",,None,0,None,None
"1863859_None",,None,0,None,None
"880101_None",,None,0,None,None
"880101_None",,None,0,None,None
"880101_None",,None,0,None,None
"880101_None",,None,0,None,None
"880101_None",,None,0,None,None
"880101_None",,None,0,None,None
"2142026_None",,None,0,None,None
"2142026_None",,None,0,None,None
"973826_None",,None,377000,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"973826_None",,None,0,None,None
"1140872_None",,None,0,None,None
"1140872_None",,None,0,None,None
"965329_None",,None,0,None,None
