id,name,age,nationality,jerseyNumber,height,weight,preferred_foot,preferred_positions,market_value,overall_rating,minutes_played
865473,"Stephane Aziz Ki",29,"Burkina Faso",25,180,None,"Left","F",290000,None,None
933770,"Hamza Hannouri",27,"Morocco",19,188,None,,"F",580000,None,None
990661,"Tumisang Orebonye",29,"Botswana",9,180,None,"Right","F",365000,None,None
359290,"Zouhair El Moutaraji",29,"Morocco",7,178,None,"Right","F",235000,None,None
1155867,"Mohammed El Ouardi",25,"Morocco",21,172,None,"Right","F",23000,None,None
249437,"Hakim Ziyech",32,"Morocco",93,181,None,"Left","M",2800000,None,None
894744,"Thembinkosi Lorch",32,"South Africa",3,170,None,"Right","M",465000,None,None
27714,"Nordin Amrabat",38,"Morocco",11,178,None,"Right","M",135000,None,None
1382913,"Arthur Wenderroscky",20,"Brazil",10,172,None,"Left","M",405000,None,None
340547,"Hamza Sakhi",29,"Morocco",29,172,None,"Right","M",750000,None,None
1199422,"Pedrinho",21,"Brazil",33,170,None,"Right","M",390000,None,None
359278,"Walid Sabbar",29,"Morocco",6,182,None,"Right","M",365000,None,None
1140890,"Abdelghafour Lamirat",28,"Morocco",15,181,None,"Right","M",550000,None,None
340511,"Mohamed Rayhi",31,"Netherlands",8,178,None,"Right","M",690000,None,None
1095732,"Oussama Zemraoui",23,"Morocco",23,172,None,"Left","M",625000,None,None
1210560,"Walid Nassi",25,"Morocco",28,180,None,"Left","M",285000,None,None
1863859,"Mouad Aounzou",24,"Morocco",21,175,None,"Right","M",23000,None,None
880101,"Hamza El Wasti",30,"Morocco",18,186,None,"Right","M",420000,None,None
2142026,"Rayane Mahtou",20,"Morocco",17,184,None,"Both","M",,None,None
973826,"Guilherme Ferreira",26,"Brazil",14,193,None,"Right","D",370000,None,None
1140872,"Mohamed Moufid",25,"Morocco",2,172,None,"Right","D",875000,None,None
965329,"Mohamed Bouchouari",25,"Belgium",34,170,None,"Right","D",590000,None,None
809290,"Bart Meijers",28,"Netherlands",22,185,None,"Right","D",655000,None,None
1009188,"Amine Aboulfath",28,"Morocco",4,183,None,"Right","D",495000,None,None
970606,"Ayoub Boucheta",32,"Morocco",24,173,None,"Left","D",535000,None,None
1845545,"Mohammed El Jadidi",21,"Morocco",5,190,None,"Right","D",185000,None,None
2290450,"Souhail Amri",30,"Morocco",,180,None,,"D",,None,None
970630,"El Mehdi Benabid",27,"Morocco",16,187,None,"Right","G",1400000,None,None
1140796,"Youssef El Motie",30,"Morocco",1,193,None,"Right","G",750000,None,None
