id,season,matches_played,goals,assists,yellow_cards,red_cards,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"865473_1115_80446","CAF Confederations Cup 25/26",,0,0,0,0,,,0,77.272727272727,,6.5
"865473_1115_44969","CAF Confederations Cup 22/23",,1,1,1,0,,,7,75.965665236052,,6.6
"865473_1115_38395","CAF Confederations Cup 21/22",,3,0,0,0,,,4,76.047904191617,,7.2666666666667
"933770_1115_80446","CAF Confederations Cup 25/26",,0,0,0,0,,,0,67.857142857143,,6.1
"933770_937_78750","Botola Pro 25/26",,4,1,1,0,,,,76.34,,7.2142857142857
"933770_937_65433","Botola Pro 24/25",,8,2,4,0,,,,73.61,,7.0307692307692
"990661_1115_80446","CAF Confederations Cup 25/26",,0,0,0,0,,,0,0,,6.5
"990661_1115_53523","CAF Confederations Cup 23/24",,1,0,1,0,,,4,75.36231884058,,6.825
"990661_1115_44969","CAF Confederations Cup 22/23",,1,2,2,0,,,8,70.292887029289,,6.825
"359290_937_78750","Botola Pro 25/26",,0,0,0,0,,,,83.33,,6.52
"359290_937_54108","Botola Pro 23/24",,0,1,0,0,,,,0,,7.1
"359290_808_68147","Egyptian Premier League 24/25",,2,1,0,0,,,3,70.32967032967,,6.6666666666667
"1155867_1054_38336","CAF Champions League 21/22",,0,0,0,0,,,0,0,,0
"1155867_937_65433","Botola Pro 24/25",,0,0,1,0,,,,,,
"249437_14627_74802","Qatar Cup 2025",,0,0,0,0,,,,78.72,,6.65
"249437_13_56249","World Cup Qual. CAF  2025",,2,0,1,0,,,,,,
"249437_52_63814","Trendyol Süper Lig 24/25",,0,1,1,0,,,4,79.220779220779,,7.02
"894744_1115_80446","CAF Confederations Cup 25/26",,0,2,0,0,,,3,77.333333333333,,6.7
"894744_1115_38395","CAF Confederations Cup 21/22",,1,1,1,0,,,9,76.737160120846,,6.8375
"894744_1115_34873","CAF Confederations Cup 20/21",,0,0,0,0,,,0,73.170731707317,,6.7
"27714_1115_80446","CAF Confederations Cup 25/26",,1,0,1,0,,,2,72.58064516129,,7.4
"27714_937_78750","Botola Pro 25/26",,1,2,1,0,,,,70.29,,7.1571428571429
"27714_357_69619","FIFA Club World Cup 2025",,0,1,1,0,,,0,70.37037037037,,6.5666666666667
