id,name
36268,"Wydad Casablanca"
36268,"Wydad Casablanca"
35,"Manchester United"
24394,"AS FAR Rabat"
55035,"MAS de Fès"
55035,"MAS de Fès"
55035,"MAS de Fès"
41757,"Raja Club Athletic"
55025,"CODM Meknès"
55025,"CODM Meknès"
55025,"CODM Meknès"
80395,"RS Berkane"
204299,"Olympique Dcheira"
55043,"Difaâ Hassani El-Jadidi"
55043,"Difaâ Hassani El-Jadidi"
55043,"Difaâ Hassani El-Jadidi"
87180,"Ittihad Tanger"
263373,"Renaissance Zemamra"
55039,"Hassania d'Agadir"
55039,"Hassania d'Agadir"
47696,"Kawkab Athletic Club Marrakech"
55027,"Fath Union Sport"
479104,"Union Sportive Yacoub El Mansour"
