id,title,year,competition,level
"665738_1xWinnerAfricanNationsChampionship_24/25","1x Winner African Nations Championship","24/25","1x Winner African Nations Championship",None
"665738_2xCAFConfederationCupwinner_24/25","2x CAF Confederation Cup winner","24/25","2x CAF Confederation Cup winner",None
"665738_2xCAFConfederationCupwinner_21/22","2x CAF Confederation Cup winner","21/22","2x CAF Confederation Cup winner",None
"665738_2xMoroccancupwinner_22/23","2x Moroccan cup winner","22/23","2x Moroccan cup winner",None
"665738_2xMoroccancupwinner_21/22","2x Moroccan cup winner","21/22","2x Moroccan cup winner",None
"665738_1xMoroccanchampion_24/25","1x Moroccan champion","24/25","1x Moroccan champion",None
"732950_2xTopgoalscorer_24/25","2x Top goal scorer","24/25","2x Top goal scorer",None
"732950_2xTopgoalscorer_24/25","2x Top goal scorer","24/25","2x Top goal scorer",None
"732950_1xWinnerAfricanNationsChampionship_24/25","1x Winner African Nations Championship","24/25","1x Winner African Nations Championship",None
"732950_1xCAFConfederationCupwinner_24/25","1x CAF Confederation Cup winner","24/25","1x CAF Confederation Cup winner",None
"732950_1xMoroccancupwinner_18/19","1x Moroccan cup winner","18/19","1x Moroccan cup winner",None
"732950_1xMoroccanchampion_24/25","1x Moroccan champion","24/25","1x Moroccan champion",None
"1110732_1xTunisianChampion_22/23","1x Tunisian Champion","22/23","1x Tunisian Champion",None
"1110732_1xCAFConfederationCupwinner_24/25","1x CAF Confederation Cup winner","24/25","1x CAF Confederation Cup winner",None
"1110732_1xMoroccanchampion_24/25","1x Moroccan champion","24/25","1x Moroccan champion",None
"885704_1xCAFConfederationCupwinner_24/25","1x CAF Confederation Cup winner","24/25","1x CAF Confederation Cup winner",None
"885704_1xMoroccancupwinner_21/22","1x Moroccan cup winner","21/22","1x Moroccan cup winner",None
"599573_1xCAFConfederationCupwinner_24/25","1x CAF Confederation Cup winner","24/25","1x CAF Confederation Cup winner",None
"599573_1xMoroccanchampion_24/25","1x Moroccan champion","24/25","1x Moroccan champion",None
"468244_1xTurkishsecondtierchampion_19/20","1x Turkish second tier champion","19/20","1x Turkish second tier champion",None
"519192_1xCAFConfederationCupwinner_24/25","1x CAF Confederation Cup winner","24/25","1x CAF Confederation Cup winner",None
"519192_1xMoroccanchampion_24/25","1x Moroccan champion","24/25","1x Moroccan champion",None
"838829_1xWinnerAfricanNationsChampionship_24/25","1x Winner African Nations Championship","24/25","1x Winner African Nations Championship",None
"838829_1xCAFConfederationCupwinner_24/25","1x CAF Confederation Cup winner","24/25","1x CAF Confederation Cup winner",None
"838829_1xMoroccanchampion_24/25","1x Moroccan champion","24/25","1x Moroccan champion",None
"522302_1xCAFSuperCupWinner_22/23","1x CAF Super Cup Winner","22/23","1x CAF Super Cup Winner",None
"522302_1xCAFConfederationCupwinner_24/25","1x CAF Confederation Cup winner","24/25","1x CAF Confederation Cup winner",None
"522302_1xMoroccancupwinner_22/23","1x Moroccan cup winner","22/23","1x Moroccan cup winner",None
"522302_2xMoroccanchampion_24/25","2x Moroccan champion","24/25","2x Moroccan champion",None
"522302_2xMoroccanchampion_17/18","2x Moroccan champion","17/18","2x Moroccan champion",None
"842418_1xWinnerAfricanNationsChampionship_24/25","1x Winner African Nations Championship","24/25","1x Winner African Nations Championship",None
