id,joined_date,expires_date,market_value,salary
"665738_Current","09/08/2021","30/06/2027","€1.20m",None
"732950_Current","23/07/2023","","€900k",None
"1110732_Current","17/08/2024","30/06/2027","€500k",None
"885704_Current","01/07/2022","","€10k",None
"599573_Current","19/08/2024","30/06/2027","€300k",None
"1044891_Current","31/07/2025","30/06/2028","€450k",None
"468244_Current","29/07/2025","","€75k",None
"519192_Current","23/07/2023","30/06/2026","€500k",None
"838829_Current","24/08/2024","30/06/2027","€450k",None
"522302_Current","09/08/2022","30/06/2029","€750k",None
"842418_Current","04/08/2023","30/06/2026","€800k",None
"191407_Current","12/07/2025","30/06/2027","€175k",None
"776215_Current","23/08/2021","30/06/2026","€1.40m",None
"1091178_Current","01/07/2025","","€25k",None
"665744_Current","02/07/2025","30/06/2028","€500k",None
"847288_Current","22/08/2023","30/06/2026","€350k",None
"1210200_Current","24/07/2025","30/06/2028","€75k",None
"348772_Current","12/08/2021","30/06/2026","€800k",None
"355641_Current","25/08/2025","30/06/2028","€2.80m",None
"97925_Current","02/07/2024","30/06/2026","€700k",None
"1165481_Current","07/08/2023","30/06/2027","€100k",None
"373594_Current","30/08/2024","30/06/2027","€50k",None
"836640_Current","20/08/2024","30/06/2028","€1.20m",None
"575594_Current","25/08/2025","30/06/2027","€1.80m",None
"868636_Current","28/07/2023","30/06/2027","€1.00m",None
"882910_Current","01/01/2023","","€100k",None
"146143_Current","11/08/2025","30/06/2026","€650k",None
"240708_Current","09/08/2025","30/06/2027","€400k",None
"667970_Current","22/01/2024","","€650k",None
"330726_Current","22/08/2025","","€450k",None
"800363_Current","24/07/2024","30/06/2027","€900k",None
"273432_Current","23/07/2024","30/06/2026","€650k",None
"441982_Current","10/07/2025","30/06/2027","€400k",None
"513275_Current","25/08/2025","30/06/2027","€400k",None
"728597_Current","01/07/2025","30/06/2027","€400k",None
"353476_Current","23/07/2024","30/06/2026","€400k",None
"245194_Current","22/01/2024","30/06/2026","€550k",None
"517712_Current","01/06/2025","30/06/2028","€600k",None
"1235899_Current","30/01/2025","30/06/2028","€175k",None
"1330446_Current","01/07/2025","30/06/2030","€10k",None
"1005645_Current","21/08/2024","30/06/2028","€400k",None
"1274628_Current","25/08/2025","30/06/2029","€10k",None
"342719_Current","05/06/2025","30/06/2026","€700k",None
"732953_Current","22/08/2022","30/06/2026","€700k",None
"217111_Current","23/10/2025","30/06/2027","€3.00m",None
"544414_Current","27/01/2025","30/06/2027","€1.50m",None
"1253671_Current","01/07/2024","30/06/2027","€25k",None
"263951_Current","27/07/2024","","€800k",None
"240707_Current","25/08/2025","30/06/2028","€225k",None
"881744_Current","09/08/2021","","€25k",None
"916708_Current","26/08/2024","","€275k",None
"546225_Current","25/08/2025","30/06/2028","€550k",None
"382417_Current","01/06/2025","30/06/2027","€300k",None
"743585_Current","19/09/2024","","€450k",None
"925782_Current","08/07/2025","30/06/2028","€600k",None
"681691_Current","22/07/2025","30/06/2027","€550k",None
"55619_Current","01/06/2025","","€125k",None
"1311408_Current","01/01/2025","30/06/2029","€25k",None
"1302206_Current","25/07/2025","30/06/2028","€200k",None
"974042_Current","19/09/2024","30/06/2026","€400k",None
