id,name,age,nationality,height,preferred_foot,preferred_positions,market_value,current_club_id
665738,Ayoub Khairi,25,Morocco,0,,Central Midfield,€1.20m,37176
732950,Oussama Lamlioui,29,Morocco,180,both,Centre-Forward,€900k,37176
1110732,Soumaila Sidibe,28,Mali,178,right,Defensive Midfield,€500k,37176
885704,Kamal Bilal,27,Morocco,0,,Goalkeeper,€10k,37176
599573,Mehdi Maftah,32,Morocco,190,right,Goalkeeper,€300k,37176
1044891,Amine Azri,30,Morocco,183,left,Right Winger,€450k,37176
468244,Rayane Aabid,33,France,178,right,Central Midfield,€75k,37176
519192,Mohamed El Morabit,27,Morocco,179,right,Attacking Midfield,€500k,37176
838829,Imad Riahi,25,Morocco,178,right,Right Winger,€450k,37176
522302,Yassine Labhiri,31,Morocco,178,right,Attacking Midfield,€750k,37176
842418,Abdelhak Assal,27,Morocco,190,right,Centre-Back,€800k,37176
191407,Oussama Haddadi,33,Tunisia,185,left,Centre-Back,€175k,37176
776215,Mamadou Lamine Camara,22,Senegal,193,right,Defensive Midfield,€1.40m,37176
1091178,Mohamed Ouyahia,20,Morocco,176,left,Central Midfield,€25k,37176
665744,Et-Tayeb Boukhriss,26,Morocco,177,right,Right-Back,€500k,37176
847288,Paul Bassène,24,Senegal,182,left,Centre-Forward,€350k,37176
1210200,Youness El Kaabi,25,Morocco,185,right,Centre-Forward,€75k,37176
348772,Hamza El Moussaoui,32,Morocco,181,,Left-Back,€800k,37176
355641,Mounir Chouiar,26,Morocco,177,right,Left Winger,€2.80m,37176
97925,Munir El Kajoui,36,Morocco,190,right,Goalkeeper,€700k,37176
1165481,Amine El Maswab,25,Morocco,0,left,Centre-Back,€100k,37176
373594,Mohamed Aymen Sadil,31,Morocco,0,left,Left-Back,€50k,37176
836640,Haytam Manaout,24,Morocco,179,right,Right-Back,€1.20m,37176
575594,Ismaël Kandouss,28,Morocco,192,YSI Football,Centre-Back,€1.80m,37176
868636,Youssef Mehri,26,Morocco,177,,Left Winger,€1.00m,37176
882910,Reda Hajji,25,Morocco,0,right,Attacking Midfield,€100k,37176
146143,Zinédine Machach,29,France,185,right,Attacking Midfield,€650k,37176
240708,Walid Sabbar,29,Morocco,177,right,Central Midfield,€400k,6603
667970,Oussama Zemraoui,23,Morocco,175,left,Central Midfield,€650k,6603
330726,Thembinkosi Lorch,32,South Africa,168,right,Left Winger,€450k,6603
800363,Mohamed Moufid,25,Morocco,173,right,Right-Back,€900k,6603
273432,Mohamed Rayhi,31,Netherlands,178,YSI Football,Left Winger,€650k,6603
441982,Hamza Elowasti,30,Morocco,186,right,Left Winger,€400k,6603
513275,Tumisang Orebonye,29,Botswana,180,right,Centre-Forward,€400k,6603
728597,Guilherme Ferreira,26,Brazil,194,right,Centre-Back,€400k,6603
353476,Abdelali Mhamdi,34,Morocco,192,YSI Football,Goalkeeper,€400k,6603
245194,Ayoub Boucheta,32,Morocco,171,left,Left-Back,€550k,6603
517712,Hamza Hannouri,27,Morocco,188,,Centre-Forward,€600k,6603
1235899,Mohammed El Jadidi,21,Morocco,190,right,Centre-Back,€175k,6603
1330446,Rayane Mahtou,20,Morocco,184,both,Defensive Midfield,€10k,6603
1005645,Pedrinho,21,Brazil,172,right,Attacking Midfield,€400k,6603
1274628,Walid Atik,24,Morocco,176,right,Right-Back,€10k,6603
342719,Bart Meijers,28,Netherlands,185,YSI Football,Centre-Back,€700k,6603
732953,Youssef El Motie,31,Morocco,193,right,Goalkeeper,€700k,6603
217111,Hakim Ziyech,32,Morocco,180,left,Right Winger,€3.00m,6603
544414,El Mehdi Benabid,27,Morocco,188,right,Goalkeeper,€1.50m,6603
1253671,Mouad Enzo,24,Morocco,175,right,Attacking Midfield,€25k,6603
263951,Hamza Sakhi,29,Morocco,176,right,Attacking Midfield,€800k,6603
240707,Zouhair El Moutaraji,29,Morocco,182,right,Left Winger,€225k,6603
881744,Mohamed El Ouardi,25,Morocco,172,right,Left Winger,€25k,6603
916708,Walid Nassi,25,Morocco,182,left,Right Winger,€275k,6603
546225,Mohamed Bouchouari,25,Belgium,170,right,Right-Back,€550k,6603
382417,Stephane Aziz Ki,29,Burkina Faso,175,left,Attacking Midfield,€300k,6603
743585,Arthur Wenderroscky,20,Brazil,170,left,Attacking Midfield,€450k,6603
925782,Abdelghafour Lamirat,28,Morocco,181,,Defensive Midfield,€600k,6603
681691,Amine Aboulfath,28,Morocco,183,right,Centre-Back,€550k,6603
55619,Nordin Amrabat,38,Morocco,178,right,Right Winger,€125k,6603
1311408,Omar Aqzdaou,22,Morocco,198,YSI Football,Goalkeeper,€25k,6603
1302206,Joseph Bakasu,22,DR Congo,184,right,Central Midfield,€200k,6603
974042,Younes Najari,29,Morocco,186,left,Right Winger,€400k,2068
1150962,Mouad Dahak,20,Morocco,165,right,Left Winger,€900k,2068
262685,Moses Orkuma,31,Nigeria,0,right,Defensive Midfield,€700k,2068
822538,El Mehdi Al Harrar,25,Morocco,192,right,Goalkeeper,€750k,2068
240712,Khalid Kbiri Alaoui,29,Morocco,192,,Goalkeeper,€550k,2068
617592,Ismail Mokadem,30,Morocco,181,right,Centre-Back,€500k,2068
274235,Mohamed Al-Makahasi,30,Morocco,177,right,Central Midfield,€800k,2068
