ach_id,winner_id,type
665738_1xWinnerAfricanNationsChampionship_24/25,665738,Player
665738_2xCAFConfederationCupwinner_24/25,665738,Player
665738_2xCAFConfederationCupwinner_21/22,665738,Player
665738_2xMoroccancupwinner_22/23,665738,Player
665738_2xMoroccancupwinner_21/22,665738,Player
665738_1xMoroccanchampion_24/25,665738,Player
732950_2xTopgoalscorer_24/25,732950,Player
732950_2xTopgoalscorer_24/25,732950,Player
732950_1xWinnerAfricanNationsChampionship_24/25,732950,Player
732950_1xCAFConfederationCupwinner_24/25,732950,Player
732950_1xMoroccancupwinner_18/19,732950,Player
732950_1xMoroccanchampion_24/25,732950,Player
1110732_1xTunisianChampion_22/23,1110732,Player
1110732_1xCAFConfederationCupwinner_24/25,1110732,Player
1110732_1xMoroccanchampion_24/25,1110732,Player
885704_1xCAFConfederationCupwinner_24/25,885704,Player
885704_1xMoroccancupwinner_21/22,885704,Player
599573_1xCAFConfederationCupwinner_24/25,599573,Player
599573_1xMoroccanchampion_24/25,599573,Player
468244_1xTurkishsecondtierchampion_19/20,468244,Player
519192_1xCAFConfederationCupwinner_24/25,519192,Player
519192_1xMoroccanchampion_24/25,519192,Player
838829_1xWinnerAfricanNationsChampionship_24/25,838829,Player
838829_1xCAFConfederationCupwinner_24/25,838829,Player
838829_1xMoroccanchampion_24/25,838829,Player
522302_1xCAFSuperCupWinner_22/23,522302,Player
522302_1xCAFConfederationCupwinner_24/25,522302,Player
522302_1xMoroccancupwinner_22/23,522302,Player
522302_2xMoroccanchampion_24/25,522302,Player
522302_2xMoroccanchampion_17/18,522302,Player
842418_1xWinnerAfricanNationsChampionship_24/25,842418,Player
842418_1xCAFConfederationCupwinner_24/25,842418,Player
842418_1xMoroccanchampion_24/25,842418,Player
191407_1xTunisianChampion_14/15,191407,Player
191407_1xTunisiancupwinner_16/17,191407,Player
776215_1xCAFSuperCupWinner_22/23,776215,Player
776215_1xUnder-20AfricaCupwinner_2023,776215,Player
776215_2xCAFConfederationCupwinner_24/25,776215,Player
776215_2xCAFConfederationCupwinner_21/22,776215,Player
776215_2xMoroccancupwinner_22/23,776215,Player
776215_2xMoroccancupwinner_21/22,776215,Player
776215_1xMoroccanchampion_24/25,776215,Player
1091178_1xCAFConfederationCupwinner_24/25,1091178,Player
1091178_1xMoroccancupwinner_22/23,1091178,Player
1091178_1xMoroccanchampion_24/25,1091178,Player
847288_1xCAFConfederationCupwinner_24/25,847288,Player
847288_1xMoroccanchampion_24/25,847288,Player
1210200_1xWinnerAfricanNationsChampionship_24/25,1210200,Player
348772_1xWinnerAfricanNationsChampionship_20/21,348772,Player
348772_1xCAFSuperCupWinner_22/23,348772,Player
348772_1xArabCupwinner_24/25,348772,Player
348772_2xCAFConfederationCupwinner_24/25,348772,Player
348772_2xCAFConfederationCupwinner_21/22,348772,Player
348772_2xMoroccancupwinner_22/23,348772,Player
348772_2xMoroccancupwinner_21/22,348772,Player
348772_1xMoroccanchampion_24/25,348772,Player
355641_1xBulgarianchampion_23/24,355641,Player
355641_1xArabCupwinner_24/25,355641,Player
97925_1xCAFConfederationCupwinner_24/25,97925,Player
97925_1xMoroccanchampion_24/25,97925,Player
