cont_id,associated_id,type
665738_Current,665738,Player
732950_Current,732950,Player
1110732_Current,1110732,Player
885704_Current,885704,Player
599573_Current,599573,Player
1044891_Current,1044891,Player
468244_Current,468244,Player
519192_Current,519192,Player
838829_Current,838829,Player
522302_Current,522302,Player
842418_Current,842418,Player
191407_Current,191407,Player
776215_Current,776215,Player
1091178_Current,1091178,Player
665744_Current,665744,Player
847288_Current,847288,Player
1210200_Current,1210200,Player
348772_Current,348772,Player
355641_Current,355641,Player
97925_Current,97925,Player
1165481_Current,1165481,Player
373594_Current,373594,Player
836640_Current,836640,Player
575594_Current,575594,Player
868636_Current,868636,Player
882910_Current,882910,Player
146143_Current,146143,Player
240708_Current,240708,Player
667970_Current,667970,Player
330726_Current,330726,Player
800363_Current,800363,Player
273432_Current,273432,Player
441982_Current,441982,Player
513275_Current,513275,Player
728597_Current,728597,Player
353476_Current,353476,Player
245194_Current,245194,Player
517712_Current,517712,Player
1235899_Current,1235899,Player
1330446_Current,1330446,Player
1005645_Current,1005645,Player
1274628_Current,1274628,Player
342719_Current,342719,Player
732953_Current,732953,Player
217111_Current,217111,Player
544414_Current,544414,Player
1253671_Current,1253671,Player
263951_Current,263951,Player
240707_Current,240707,Player
881744_Current,881744,Player
916708_Current,916708,Player
546225_Current,546225,Player
382417_Current,382417,Player
743585_Current,743585,Player
925782_Current,925782,Player
681691_Current,681691,Player
55619_Current,55619,Player
1311408_Current,1311408,Player
1302206_Current,1302206,Player
974042_Current,974042,Player
1150962_Current,1150962,Player
262685_Current,262685,Player
822538_Current,822538,Player
240712_Current,240712,Player
617592_Current,617592,Player
274235_Current,274235,Player
241324_Current,241324,Player
1274436_Current,1274436,Player
738952_Current,738952,Player
560873_Current,560873,Player
847308_Current,847308,Player
679259_Current,679259,Player
904603_Current,904603,Player
569755_Current,569755,Player
518804_Current,518804,Player
969934_Current,969934,Player
238634_Current,238634,Player
371606_Current,371606,Player
988205_Current,988205,Player
245193_Current,245193,Player
913377_Current,913377,Player
707310_Current,707310,Player
318904_Current,318904,Player
1079652_Current,1079652,Player
876730_Current,876730,Player
711572_Current,711572,Player
199704_Current,199704,Player
507374_Current,507374,Player
573065_Current,573065,Player
859133_Current,859133,Player
371211_Current,371211,Player
553100_Current,553100,Player
1105266_Current,1105266,Player
238997_Current,238997,Player
660041_Current,660041,Player
711281_Current,711281,Player
518802_Current,518802,Player
689431_Current,689431,Player
631508_Current,631508,Player
742502_Current,742502,Player
872090_Current,872090,Player
518801_Current,518801,Player
635927_Current,635927,Player
904465_Current,904465,Player
734155_Current,734155,Player
1299944_Current,1299944,Player
1055358_Current,1055358,Player
366744_Current,366744,Player
799742_Current,799742,Player
816064_Current,816064,Player
1134249_Current,1134249,Player
738951_Current,738951,Player
556272_Current,556272,Player
844795_Current,844795,Player
737182_Current,737182,Player
593405_Current,593405,Player
1232068_Current,1232068,Player
627926_Current,627926,Player
1055193_Current,1055193,Player
1039603_Current,1039603,Player
834876_Current,834876,Player
1150961_Current,1150961,Player
507134_Current,507134,Player
1203514_Current,1203514,Player
838828_Current,838828,Player
844300_Current,844300,Player
920971_Current,920971,Player
717213_Current,717213,Player
667994_Current,667994,Player
981522_Current,981522,Player
811084_Current,811084,Player
508643_Current,508643,Player
913361_Current,913361,Player
262953_Current,262953,Player
290768_Current,290768,Player
339552_Current,339552,Player
1091104_Current,1091104,Player
1341102_Current,1341102,Player
682847_Current,682847,Player
308265_Current,308265,Player
1176891_Current,1176891,Player
1317548_Current,1317548,Player
1176890_Current,1176890,Player
721818_Current,721818,Player
863795_Current,863795,Player
858584_Current,858584,Player
712126_Current,712126,Player
689435_Current,689435,Player
1174262_Current,1174262,Player
1115476_Current,1115476,Player
367149_Current,367149,Player
1344495_Current,1344495,Player
1235905_Current,1235905,Player
255642_Current,255642,Player
692591_Current,692591,Player
1370739_Current,1370739,Player
306668_Current,306668,Player
1091105_Current,1091105,Player
356586_Current,356586,Player
1139810_Current,1139810,Player
