player_id,stat_id
665738,665738_Total
732950,732950_Total
1110732,1110732_Total
885704,885704_Total
599573,599573_Total
1044891,1044891_Total
468244,468244_Total
519192,519192_Total
838829,838829_Total
522302,522302_Total
842418,842418_Total
191407,191407_Total
776215,776215_Total
1091178,1091178_Total
665744,665744_Total
847288,847288_Total
1210200,1210200_Total
348772,348772_Total
355641,355641_Total
97925,97925_Total
1165481,1165481_Total
373594,373594_Total
836640,836640_Total
575594,575594_Total
868636,868636_Total
882910,882910_Total
146143,146143_Total
240708,240708_Total
667970,667970_Total
330726,330726_Total
800363,800363_Total
273432,273432_Total
441982,441982_Total
513275,513275_Total
728597,728597_Total
353476,353476_Total
245194,245194_Total
517712,517712_Total
1235899,1235899_Total
1330446,1330446_Total
1005645,1005645_Total
1274628,1274628_Total
342719,342719_Total
732953,732953_Total
217111,217111_Total
544414,544414_Total
1253671,1253671_Total
263951,263951_Total
240707,240707_Total
881744,881744_Total
916708,916708_Total
546225,546225_Total
382417,382417_Total
743585,743585_Total
925782,925782_Total
681691,681691_Total
55619,55619_Total
1311408,1311408_Total
1302206,1302206_Total
974042,974042_Total
1150962,1150962_Total
262685,262685_Total
822538,822538_Total
240712,240712_Total
617592,617592_Total
274235,274235_Total
241324,241324_Total
1274436,1274436_Total
738952,738952_Total
560873,560873_Total
847308,847308_Total
679259,679259_Total
904603,904603_Total
569755,569755_Total
518804,518804_Total
969934,969934_Total
238634,238634_Total
371606,371606_Total
988205,988205_Total
245193,245193_Total
913377,913377_Total
707310,707310_Total
318904,318904_Total
1079652,1079652_Total
876730,876730_Total
711572,711572_Total
199704,199704_Total
507374,507374_Total
573065,573065_Total
859133,859133_Total
371211,371211_Total
553100,553100_Total
1105266,1105266_Total
238997,238997_Total
660041,660041_Total
711281,711281_Total
518802,518802_Total
689431,689431_Total
631508,631508_Total
742502,742502_Total
872090,872090_Total
518801,518801_Total
635927,635927_Total
904465,904465_Total
734155,734155_Total
1299944,1299944_Total
1055358,1055358_Total
366744,366744_Total
799742,799742_Total
816064,816064_Total
1134249,1134249_Total
738951,738951_Total
556272,556272_Total
844795,844795_Total
737182,737182_Total
593405,593405_Total
1232068,1232068_Total
627926,627926_Total
1055193,1055193_Total
1039603,1039603_Total
834876,834876_Total
1150961,1150961_Total
507134,507134_Total
1203514,1203514_Total
838828,838828_Total
844300,844300_Total
920971,920971_Total
717213,717213_Total
667994,667994_Total
981522,981522_Total
811084,811084_Total
508643,508643_Total
913361,913361_Total
262953,262953_Total
290768,290768_Total
339552,339552_Total
1091104,1091104_Total
682847,682847_Total
308265,308265_Total
1176891,1176891_Total
1317548,1317548_Total
1176890,1176890_Total
721818,721818_Total
863795,863795_Total
858584,858584_Total
712126,712126_Total
689435,689435_Total
1174262,1174262_Total
1115476,1115476_Total
367149,367149_Total
1344495,1344495_Total
1235905,1235905_Total
255642,255642_Total
692591,692591_Total
1370739,1370739_Total
306668,306668_Total
1091105,1091105_Total
356586,356586_Total
1139810,1139810_Total
1266261,1266261_Total
842564,842564_Total
343949,343949_Total
1055339,1055339_Total
713000,713000_Total
235602,235602_Total
1332783,1332783_Total
1175868,1175868_Total
1267107,1267107_Total
727209,727209_Total
667999,667999_Total
1245251,1245251_Total
1134255,1134255_Total
904578,904578_Total
943495,943495_Total
1066475,1066475_Total
1267109,1267109_Total
276255,276255_Total
869457,869457_Total
1430198,1430198_Total
593478,593478_Total
1074351,1074351_Total
537209,537209_Total
1180814,1180814_Total
1443774,1443774_Total
848947,848947_Total
667966,667966_Total
245346,245346_Total
64490,64490_Total
708663,708663_Total
1443785,1443785_Total
667992,667992_Total
239291,239291_Total
1134252,1134252_Total
1246533,1246533_Total
1028119,1028119_Total
1055313,1055313_Total
1180811,1180811_Total
926103,926103_Total
1091486,1091486_Total
238952,238952_Total
1371032,1371032_Total
913644,913644_Total
