stat_id,player_id
"665738_Total",665738
"732950_Total",732950
"1110732_Total",1110732
"885704_Total",885704
"599573_Total",599573
"1044891_Total",1044891
"468244_Total",468244
"519192_Total",519192
"838829_Total",838829
"522302_Total",522302
"842418_Total",842418
"191407_Total",191407
"776215_Total",776215
"1091178_Total",1091178
"665744_Total",665744
"847288_Total",847288
"1210200_Total",1210200
"348772_Total",348772
"355641_Total",355641
"97925_Total",97925
"1165481_Total",1165481
"373594_Total",373594
"836640_Total",836640
"575594_Total",575594
"868636_Total",868636
"882910_Total",882910
"146143_Total",146143
"240708_Total",240708
"667970_Total",667970
"330726_Total",330726
"800363_Total",800363
"273432_Total",273432
"441982_Total",441982
"513275_Total",513275
"728597_Total",728597
"353476_Total",353476
"245194_Total",245194
"517712_Total",517712
"1235899_Total",1235899
"1330446_Total",1330446
"1005645_Total",1005645
"1274628_Total",1274628
"342719_Total",342719
"732953_Total",732953
"217111_Total",217111
"544414_Total",544414
"1253671_Total",1253671
"263951_Total",263951
"240707_Total",240707
"881744_Total",881744
"916708_Total",916708
"546225_Total",546225
"382417_Total",382417
"743585_Total",743585
"925782_Total",925782
"681691_Total",681691
"55619_Total",55619
"1311408_Total",1311408
"1302206_Total",1302206
"974042_Total",974042
"1150962_Total",1150962
"262685_Total",262685
"822538_Total",822538
"240712_Total",240712
"617592_Total",617592
"274235_Total",274235
"241324_Total",241324
"1274436_Total",1274436
"738952_Total",738952
"560873_Total",560873
"847308_Total",847308
"679259_Total",679259
"904603_Total",904603
"569755_Total",569755
"518804_Total",518804
"969934_Total",969934
"238634_Total",238634
"371606_Total",371606
"988205_Total",988205
"245193_Total",245193
"913377_Total",913377
"707310_Total",707310
"318904_Total",318904
"1079652_Total",1079652
"876730_Total",876730
"711572_Total",711572
"199704_Total",199704
"507374_Total",507374
"573065_Total",573065
"859133_Total",859133
"371211_Total",371211
"553100_Total",553100
"1105266_Total",1105266
"238997_Total",238997
"660041_Total",660041
"711281_Total",711281
"518802_Total",518802
"689431_Total",689431
"631508_Total",631508
"742502_Total",742502
"872090_Total",872090
"518801_Total",518801
"635927_Total",635927
"904465_Total",904465
"734155_Total",734155
"1299944_Total",1299944
"1055358_Total",1055358
"366744_Total",366744
