tm_id,tm_name,sofascore_id,sofascore_name,match_score
665738,Ayoub Khairi,978956.0,Ayoub Khairi,1.0
732950,Oussama Lamlioui,1140833.0,Oussama Lamlioui,1.0
1110732,Soumaila Sidibe,1166995.0,Soumaila Sidibe,1.0
885704,Kamal Bilal,,,0.64
599573,Mehdi Maftah,970755.0,Mehdi Maftah,1.0
1044891,Amine Azri,1401535.0,Amine Azri,1.0
468244,Rayane Aabid,297510.0,Rayane Aabid,1.0
519192,Mohamed El Morabit,919671.0,Mohamed El Morabit,1.0
838829,Imad Riahi,1170317.0,Imad Riahi,1.0
522302,Yassine Labhiri,919532.0,Yassine Labhiri,1.0
842418,Abdelhak Assal,1140803.0,Abdelhak Assal,1.0
191407,Oussama Haddadi,867180.0,Oussama Haddadi,1.0
776215,Mamadou Lamine Camara,1155596.0,Mamadou Lamine Camara,1.0
1091178,Mohamed Ouyahia,1823726.0,Mohammed Ouyahya,0.9
665744,Et-Tayeb Boukhriss,1014377.0,Et-Tayeb Boukhriss,1.0
847288,Paul Bassène,1102957.0,Paul Bassène,1.0
1210200,Youness El Kaabi,2203635.0,Youness El Kaabi,1.0
348772,Hamza El Moussaoui,782542.0,Hamza El Moussaoui,1.0
355641,Mounir Chouiar,845274.0,Mounir Chouiar,1.0
97925,Munir El Kajoui,2161842.0,Mounir El Gouj,0.76
1165481,Amine El Maswab,1525293.0,Amine El Maswab,1.0
373594,Mohamed Aymen Sadil,970592.0,Mohamed Aymen Sadil,1.0
836640,Haytam Manaout,1095727.0,Haytam Manaout,1.0
575594,Ismaël Kandouss,934196.0,Ismael Kandouss,1.0
868636,Youssef Mehri,1182584.0,Youssef Mehri,1.0
882910,Reda Hajji,1114480.0,Reda Hajji,1.0
146143,Zinédine Machach,366156.0,Zinédine Machach,1.0
240708,Walid Sabbar,359278.0,Walid Sabbar,1.0
667970,Oussama Zemraoui,1095732.0,Oussama Zemraoui,1.0
330726,Thembinkosi Lorch,894744.0,Thembinkosi Lorch,1.0
800363,Mohamed Moufid,1140872.0,Mohamed Moufid,1.0
273432,Mohamed Rayhi,340511.0,Mohamed Rayhi,1.0
441982,Hamza Elowasti,880101.0,Hamza El Wasti,0.93
513275,Tumisang Orebonye,990661.0,Tumisang Orebonye,1.0
728597,Guilherme Ferreira,973826.0,Guilherme Ferreira,1.0
353476,Abdelali Mhamdi,919739.0,Abdelali Mhamdi,1.0
245194,Ayoub Boucheta,970606.0,Ayoub Boucheta,1.0
517712,Hamza Hannouri,933770.0,Hamza Hannouri,1.0
1235899,Mohammed El Jadidi,1845545.0,Mohammed El Jadidi,1.0
1330446,Rayane Mahtou,2142026.0,Rayane Mahtou,1.0
1005645,Pedrinho,1199422.0,Pedrinho,1.0
1274628,Walid Atik,1210560.0,Walid Nassi,0.76
342719,Bart Meijers,809290.0,Bart Meijers,1.0
732953,Youssef El Motie,1140796.0,Youssef El Motie,1.0
217111,Hakim Ziyech,249437.0,Hakim Ziyech,1.0
544414,El Mehdi Benabid,970630.0,El Mehdi Benabid,1.0
1253671,Mouad Enzo,1863859.0,Mouad Aounzou,0.78
263951,Hamza Sakhi,340547.0,Hamza Sakhi,1.0
240707,Zouhair El Moutaraji,359290.0,Zouhair El Moutaraji,1.0
881744,Mohamed El Ouardi,1155867.0,Mohammed El Ouardi,0.97
916708,Walid Nassi,1210560.0,Walid Nassi,1.0
546225,Mohamed Bouchouari,965329.0,Mohamed Bouchouari,1.0
382417,Stephane Aziz Ki,865473.0,Stephane Aziz Ki,1.0
743585,Arthur Wenderroscky,1382913.0,Arthur Wenderroscky,1.0
925782,Abdelghafour Lamirat,1140890.0,Abdelghafour Lamirat,1.0
681691,Amine Aboulfath,1009188.0,Amine Aboulfath,1.0
55619,Nordin Amrabat,27714.0,Nordin Amrabat,1.0
1311408,Omar Aqzdaou,2021713.0,Omar Aqzdaou,1.0
1302206,Joseph Bakasu,,,0.53
