tm_id,tm_name,sofascore_id,sofascore_name,match_score
37176,Renaissance de Berkane,263373.0,Renaissance Zemamra,0.73
6603,Wydad Casablanca,36268.0,Wydad Casablanca,1.0
2068,Raja Club Athletic,41757.0,Raja Club Athletic,1.0
9099,AS FAR Rabat,24394.0,AS FAR Rabat,1.0
6371,FUS Rabat,24394.0,AS FAR Rabat,0.67
3282,MAS Fès,55035.0,MAS de Fès,0.82
79389,Union Touarga Sportif,,,0.51
22935,Hassania d'Agadir,55039.0,Hassania d'Agadir,1.0
22944,Olympique Safi,204299.0,Olympique Dcheira,0.71
30625,COD Meknès,55025.0,CODM Meknès,0.95
74953,Renaissance Zemamra,263373.0,Renaissance Zemamra,1.0
14462,Difaâ El Jadida,55043.0,Difaâ Hassani El-Jadidi,0.68
12721,Ittihad Tanger,87180.0,Ittihad Tanger,1.0
4697,KACM Marrakech,47696.0,Kawkab Athletic Club Marrakech,0.73
103954,Union Yacoub El-Mansour,479104.0,Union Sportive Yacoub El Mansour,0.78
59771,Olympique Dcheira,204299.0,Olympique Dcheira,1.0
11,Arsenal FC,,,0.47
