id,name,age,nationality
39485,"Moïn Chaabani",44,"Tunisia"
25715,"Mohamed Amine Benhachem",50,"Morocco"
25901,"Fadlu Davids",44,"South Africa"
7761,"Alexandre Santos",49,"Portugal"
22587,"Saïd Chiba",55,"Morocco"
38277,"Pablo Franco",45,"Spain"
118754,"Abdel Zamrat",51,"Morocco"
32963,"Amir Abdou",53,"France"
64518,"Zakaria Aboub",45,"Morocco"
108146,"Abdelaziz Dnibi",50,"Morocco"
117784,"Mehdi Mrani Alaoui",35,"Morocco"
27403,"Rui Almeida",56,"Portugal"
6722,"Pepe Mel",62,"Spain"
29874,"Hicham Dmiai",54,"Morocco"
123343,"Mehdi El Jabri",28,"Morocco"
109224,"Abderrahim Saidi",42,"Morocco"
47620,"Mikel Arteta",0,
